,u,dv,x,dx,theta,dtheta
200400,0.528359,0,-1.188498,-0.060344,-0.00802,-0.731707
200420,0.590719,0,-1.18796,-0.031251,-0.002767,-0.670732
200440,0.702552,0,-1.187152,-0.001907,0.001749,-0.548781
200460,0.865942,0,-1.186041,0.022525,0.005054,-0.365854
200480,0.917852,0,-1.18456,0.04027,0.007371,-0.304878
200500,0.967756,0,-1.182742,0.056201,0.009198,-0.243902
200520,1.015631,0,-1.180655,0.071307,0.01067,-0.182927
200540,1.006902,0,-1.178367,0.085486,0.011889,-0.182927
200560,1.052773,0,-1.175943,0.097839,0.012734,-0.121951
200580,1.203538,0,-1.173385,0.107379,0.012359,0.060976
200600,1.129555,0,-1.170591,0.116636,0.011624,0
200620,1.010957,0,-1.167696,0.124211,0.012114,-0.121951
200640,1.061851,0,-1.164869,0.129123,0.012593,-0.060976
200660,1.216281,0,-1.162109,0.13178,0.011726,0.121951
200680,1.144581,0,-1.159214,0.134727,0.010384,0.060976
200700,0.974077,0,-1.156218,0.136413,0.010508,-0.121951
200720,0.977288,0,-1.153391,0.135857,0.011234,-0.121951
200740,0.980764,0,-1.150664,0.135153,0.01196,-0.121951
200760,1.091349,0,-1.148073,0.13319,0.011955,0
200780,1.035395,0,-1.14538,0.130236,0.011825,-0.060976
200800,0.926644,0,-1.142653,0.128131,0.01219,-0.182927
200820,0.615906,0,-1.140061,0.126023,0.015227,-0.548781
200840,0.811871,0,-1.137907,0.120541,0.018638,-0.365854
200860,1.157028,0,-1.135921,0.114371,0.019599,0
200880,1.263053,0,-1.133565,0.110853,0.018725,0.121951
200900,1.088611,0,-1.13067,0.112818,0.018351,-0.060976
200920,1.030236,0,-1.127843,0.116199,0.018844,-0.121951
200940,1.186292,0,-1.125117,0.122525,0.018728,0.060976
200960,1.168477,0,-1.122255,0.130372,0.01788,0.060976
200980,0.992301,0,-1.119293,0.135702,0.017777,-0.121951
201000,0.995024,0,-1.116432,0.134861,0.0184,-0.121951
201020,0.996435,0,-1.113739,0.134442,0.018887,-0.121951
