Timestamp,Angular position,Angular velocity
12187,3.8671875,-87.890625
12198,2.900390625,-96.6796875
12208,1.93359375,-87.890625
12219,0.87890625,-105.46875
12229,-0.17578125,-95.8806839
12240,-1.23046875,-105.46875
12250,-2.28515625,-105.46875
12260,-3.251953125,-87.890625
12271,-4.306640625,-105.46875
12281,-5.2734375,-87.890625
12292,-6.15234375,-87.890625
12302,-7.03125,-79.9005661
12313,-7.822265625,-79.1015625
12323,-8.61328125,-79.1015625
12333,-9.31640625,-63.9204559
12344,-9.931640625,-61.5234375
12354,-10.45898438,-47.9403419
12365,-10.8984375,-43.9453125
12375,-11.25,-31.960228
12386,-11.51367188,-26.3671875
12396,-11.68945313,-17.578125
12406,-11.77734375,-7.990057
12417,-11.77734375,0
12427,-11.6015625,15.980114
12438,-11.42578125,17.578125
12448,-11.07421875,31.960228
12459,-10.63476563,43.9453125
12469,-10.1953125,43.9453125
12479,-9.580078125,55.930397
12490,-8.96484375,61.5234375
12500,-8.26171875,63.9204559
12511,-7.470703125,79.1015625
12521,-6.591796875,87.890625
12532,-5.712890625,79.9005661
12542,-4.74609375,96.6796875
12552,-3.779296875,87.890625
12563,-2.724609375,105.46875
12573,-1.7578125,87.890625
12584,-0.703125,105.46875
12594,0.3515625,105.46875
12604,1.318359375,87.890625
12615,2.373046875,105.46875
12625,3.33984375,87.890625
12636,4.306640625,96.6796875
12646,5.185546875,79.9005661
12657,6.064453125,87.890625
12667,6.943359375,87.890625
12677,7.734375,71.9105148
12688,8.349609375,61.5234375
12698,8.96484375,55.930397
12709,9.580078125,61.5234375
12719,10.01953125,39.9502831
12730,10.37109375,35.15625
12740,10.72265625,35.15625
12750,10.8984375,15.980114
12761,11.07421875,17.578125
12771,11.07421875,0
12782,11.07421875,0
12792,10.8984375,-15.980114
12803,10.72265625,-17.578125
12813,10.37109375,-35.15625
12823,10.01953125,-31.960228
12834,9.4921875,-52.734375
12844,8.96484375,-47.9403419
12855,8.349609375,-61.5234375
12865,7.646484375,-63.9204559
12876,6.85546875,-79.1015625
12886,6.064453125,-79.1015625
12896,5.185546875,-79.9005661
12907,4.21875,-96.6796875
12917,3.33984375,-79.9005661
12928,2.28515625,-105.46875
12938,1.318359375,-87.890625
12949,0.3515625,-96.6796875
12959,-0.703125,-105.46875
12969,-1.7578125,-95.8806839
12980,-2.724609375,-96.6796875
12990,-3.779296875,-95.8806839
13001,-4.658203125,-87.890625
13011,-5.625,-87.890625
13022,-6.50390625,-87.890625
13032,-7.294921875,-79.1015625
13042,-8.0859375,-71.9105148
13053,-8.7890625,-70.3125
13063,-9.404296875,-55.930397
13074,-9.931640625,-52.734375
13084,-10.45898438,-52.734375
13095,-10.81054688,-31.960228
13105,-11.07421875,-26.3671875
13115,-11.33789063,-23.970171
13126,-11.42578125,-8.7890625
13136,-11.42578125,0
13147,-11.33789063,8.7890625
13157,-11.16210938,17.578125
13167,-10.8984375,23.970171
13178,-10.546875,35.15625
13188,-10.10742188,39.9502831
13199,-9.580078125,52.734375
13209,-8.96484375,55.930397
13220,-8.26171875,70.3125
13230,-7.55859375,70.3125
13240,-6.767578125,71.9105148
13251,-5.888671875,87.890625
13261,-5.009765625,79.9005661
13272,-4.04296875,96.6796875
13282,-3.076171875,87.890625
13293,-2.109375,96.6796875
13303,-1.0546875,105.46875
13313,-0.087890625,87.890625
13324,0.966796875,105.46875
13334,1.93359375,87.890625
13345,2.900390625,96.6796875
13355,3.8671875,87.890625
13366,4.74609375,87.890625
13376,5.625,87.890625
13386,6.50390625,79.9005661
13397,7.20703125,70.3125
13407,7.91015625,63.9204559
13418,8.525390625,61.5234375
13428,9.140625,55.930397
13439,9.66796875,52.734375
13449,10.01953125,35.15625
13459,10.37109375,31.960228
13470,10.63476563,26.3671875
13480,10.81054688,15.980114
13491,10.81054688,0
13501,10.81054688,0
13512,10.72265625,-8.7890625
13522,10.546875,-17.578125
13532,10.28320313,-23.970171
13543,9.931640625,-35.15625
